id,display_name
92256,male<Pseudocalanus
58322,Gymnodinium 03
93458,not-protist-dark-center
55891,Ditylum brightwellii<Ditylum
19207,2<Uncultured
18850,20<Gymnodiniales
85118,scale
18911,21<Peridiniales
19066,25<Uncultured
18846,25<Gymnodiniales
18844,27<Gymnodiniales
19206,3<Uncultured
18903,30<Peridiniales
18901,32<Peridiniales
19035,33<Uncultured
18837,34<Gymnodiniales
19031,37<Uncultured
18834,37<Gymnodiniales
82505,Metridia curticauda
18832,39<Gymnodiniales
18830,41<Gymnodiniales
19026,42<Uncultured
18889,44<Peridiniales
18887,46<Peridiniales
19019,49<Uncultured
18885,49<Peridiniales
18961,5<Suessiales
18947,5<Prorocentrales
18883,51<Peridiniales
18818,53<Gymnodiniales
18816,55<Gymnodiniales
19012,56<Uncultured
32100,59<59-77
29416,Acacia
72867,Mertensia ovum
80147,Eucalanus
81832,Physalia
31369,Spirostomum
93611,not-relevant tricholike
18813,59<Gymnodiniales
18943,9<Prorocentrales
18859,9<Gymnodiniales
90955,Abies fabri<Chloroplast
32529,Abies fabri<Abies
27721,Acanthochiasma<Acanthochiasmidae B2
17269,Acanthochiasma<Ac group VI
27714,Acanthocyrta<Conaconidae C3
54926,Acanthocyrta haeckeli<Acanthocyrta<Conaconidae C3
77913,Acanthometra sp.<Acanthometra<Stauracanthidae F3
77899,Acanthometra sp.<Acanthometra<Acanthometridae F3
77902,Acanthometridae F3 X sp.<Acanthometridae F3 X<Acanthometridae F3<Arthra Symphy F3
54905,Acanthometron<Arthracanthida F2
77891,Acanthometron sp.<Acanthometron<Arthracanthida F2
56323,Aglaja
92919,Pomatomidae
27701,Acanthometron sp.<Acanthometron<Chaunacanthida C
55846,Chaetoceros peruvianus
90957,Achnanthes brevipes<Chloroplast
81937,Diaphanosoma
31205,Stenosemella
55298,Achnanthes brevipes<Achnanthes
25556,Acoela<Incertae Sedis Acoela
12836,Acoela<Acoelomorpha
91529,Acorus americanus<Chloroplast
15582,Acrochaete<Ulvales
21324,Acrochaete repens<Acrochaete<Ulvales
90961,Actinostrobus pyramidalis<Chloroplast
32570,Actinostrobus pyramidalis<Actinostrobus
90964,Adriana glabrata<Chloroplast
70936,Aedes aegypti<Stegomyia
92712,larvae<Mysida
92883,copepodite<Labidocera
62436,Aedes aegypti<Aedes
19812,Aglaothamnion halliae<Aglaothamnion
56164,Agrostis capillaris<Agrostis
31506,Akashiwo sanguinea<Akashiwo<Dinophyceae X
